103.24, 18.37
103.3, 18.43
103.42, 18.45
103.46, 18.42
103.52, 18.43
103.57, 18.4
103.6, 18.41
103.7, 18.34
103.84, 18.33
103.86, 18.28
103.89, 18.29
103.92, 18.33
103.97, 18.34
104.05, 18.24
104.12, 18.09
104.22, 18
104.27, 17.87
104.3, 17.84
104.34, 17.84
104.36, 17.82
104.47, 17.65
104.7, 17.53
104.73, 17.5
104.74, 17.46
104.8, 17.4
104.81, 17.33
104.8, 17.15
104.73, 17.03
104.73, 16.93
104.76, 16.86
104.74, 16.82
104.74, 16.77
104.76, 16.75
104.76, 16.67
104.73, 16.58
104.74, 16.53
104.76, 16.5
104.86, 16.44
104.86, 16.4
104.89, 16.37
104.89, 16.35
104.92, 16.34
104.95, 16.31
104.95, 16.29
104.97, 16.29
105.02, 16.24
105.01, 16.19
105.04, 16.1
105.14, 16.08
105.19, 16.05
105.41, 16.02
105.43, 15.99
105.38, 15.99
105.34, 15.92
105.39, 15.84
105.39, 15.8
105.42, 15.79
105.44, 15.75
105.48, 15.75
105.49, 15.77
105.56, 15.75
105.61, 15.71
105.61, 15.69
105.64, 15.66
105.63, 15.57
105.59, 15.51
105.6, 15.5
105.59, 15.42
105.54, 15.39
105.49, 15.39
105.47, 15.36
105.49, 15.32
105.58, 15.33
105.59, 15.26
105.53, 15.25
105.52, 15.22
105.49, 15.2
105.5, 15.19
105.48, 15.19
105.47, 15.17
105.48, 15.15
105.47, 15.12
105.49, 15.09
105.52, 15.08
105.51, 15.06
105.56, 15.06
105.55, 15.03
105.57, 15.02
105.57, 15
105.6, 15
105.62, 14.98
105.59, 14.95
105.55, 14.95
105.55, 14.92
105.58, 14.9
105.58, 14.88
105.55, 14.88
105.55, 14.83
105.52, 14.82
105.51, 14.75
105.54, 14.74
105.52, 14.73
105.52, 14.65
105.54, 14.62
105.53, 14.55
105.5, 14.51
105.48, 14.51
105.49, 14.5
105.48, 14.48
105.43, 14.42
105.41, 14.43
105.37, 14.39
105.32, 14.4
105.31, 14.37
105.28, 14.37
